,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6
,1,-9.57030558348833,-123.069245493492,-1.07085656751951,-116.981121132014,-11.8500841418418,-37.9363547849148,1.72203578571225,-8.77841982486507,24.2988741913491,-99.7739461203291,16.2066724666101,-196.948748374971,-99.0042178080016,2.07373716243274,-69.3328966916206,-59.06818629689,-15.9149867851461,-18.4771217844946,-60.2335504238995,-64.8723890100118,-14.6763158614649,-26.8996591211167,-101.038315726311,-82.9750027792984,-18.9865318340408,10.4214152471204,-75.6128409154276,0.927792206618051,-90.2327741549484,-39.0356740101356,-7.3247057279068,-59.7978715843956,-51.4883438618467,-26.0057489369115,-67.0645373845591,-6.33669618455451,24.8334810326592,10.2987917227233,-86.6467479820012,-1.8910767823495,-11.5580238753678,-8.94261693135104,-18.2664974681325,-24.1413877701621,-58.9658783442615,-7.57715551275805,-76.0118600196793,-40.0820493447095,-286.931258097673,-4.63644443558042,-3.21415759510228,-37.1499747071562,-4.10603078078339,-58.8925676879239,-1.61794259111048,-0.956020728923249,-69.9769234695,-97.8250567046221,16.0410448002785,-71.3113929503488,-271.55074079695,-32.4162647001931,-18.7849714533718,-7.7774121684397,-87.5720753665237,-9.21500052136571,-0.306776979944061,-2.98937830066052,-5.67166511627647,-6.76732318957102,-94.4305665699271,-60.4175731579235,28.2637422299513,-133.339059769751,11.5926311443923,-7.66727569090062,-1.45886014320013,5.24307820633385
,2,22.6326885139906,17.8730202915112,10.4773636289988,-14.0539022115649,-7.55999775978216,-21.3586273000205,20.1456487502091,12.0630247411627,24.0680016807974,35.4355107772617,42.8131737411063,25.2138429863412,16.4362307410797,13.9204695959061,-49.9320143063755,17.8536046403697,2.55831795142103,3.85254699359621,0.664789529107111,3.60533180149423,-2.75652368174451,-8.98558135187523,-2.54520721230074,15.8781537853283,-8.96971248767204,20.3454417674579,-38.7882092245991,15.0009345934841,24.5985386088205,11.3089786523874,2.66746662487731,11.2994416271908,2.7784079486064,11.4803357290812,15.1373392072064,12.2157457870726,25.2785578450425,17.9125529365369,20.4854272742505,10.1835595084121,10.0014007994587,5.66948307260191,2.11764606757424,4.10837151557553,-49.1534644447738,4.49237295043986,-61.7815399590977,-17.9784962439003,21.5294653086312,13.4634376823228,7.96019511795066,23.3939584443856,10.9011530307071,3.22982236576809,12.6977630080692,11.391756541268,13.6293729168374,8.56321036133886,19.38256034712,0.174976442103343,25.8261128463841,24.5279976124207,15.701257001102,17.0689990615992,-48.0275725986421,29.1591550397739,8.36471710098522,9.77712215026213,-1.3415049988389,6.79845935056073,18.0231708473402,17.4579028194562,22.4936065481274,13.2894418178353,13.1239366491959,-0.122835310297887,4.7278939029884,7.59452946666033
,3,20.0364035994662,14.9896947282668,10.0576579000285,-9.89350788779257,-9.09890212737855,-18.2365596940613,8.25491063915024,3.74524336338573,14.7507094289708,17.5670750496151,18.755500959579,22.0352929004739,16.462898051032,11.6433377055182,9.51494206719462,14.6162551584594,4.94139672098254,5.10808320346632,1.81852755412319,4.76895684054352,0.625325133866681,-0.730086702551489,-1.65515541035211,9.60009351852432,-10.3052687550557,13.1603445342221,12.4677634623336,11.5357288570212,22.242852447333,8.51885716474908,11.070671082678,12.3265910451541,7.1295188576355,13.5671880199725,14.9093099791753,13.5925045163008,22.6809347004728,13.9211934057057,19.1839980860896,5.43630054920186,6.81290082919077,11.2696173341915,9.54977137956075,7.39658968776939,9.6918873917366,3.08368510550554,11.8642538891427,-6.21210265577793,19.1150121579735,10.1032150843807,9.65628189652034,15.3279194802362,8.46150795865924,7.20501673830313,10.3167571538102,11.9076186694897,11.3332483725935,13.0515872300898,15.9605129873471,7.83880320131539,18.9464828962223,23.3883904510994,16.7363863714359,16.0212851397991,13.5871805941833,19.4488365312659,6.27520747099288,6.60579938610636,4.88033814595929,6.75410397967562,17.7416141733961,7.61428722232586,16.278404806937,11.8122684049476,9.6186149036339,-1.6277375392342,3.1488670194426,3.56606034176184
,4,7.04292333462126,14.3353851809475,9.70783468821219,-8.41280861739097,-7.60175431857988,-9.57858567583844,8.34928045074503,5.64283579392304,9.08847661794061,10.8426610743932,7.60170963239352,9.27467539601048,9.42911609023531,8.10444401111727,5.7959804810871,14.2024436113261,4.11078012751386,7.40064615215533,9.20026030472127,2.96652979918599,4.4818141531232,0.546257495087048,-3.45456919263052,4.77350391165874,6.97887508209851,9.13457471426364,12.9297444129979,12.4617281668993,18.2341476732381,8.11054498051362,5.37115711437855,17.4951614543324,9.38441065281359,10.4538922973652,7.7137452539323,9.10312205122318,15.3743591354009,9.66157351035508,16.0623077057717,11.5781403789774,8.43059976292807,5.06100986688989,7.24661945369144,4.8382505990985,11.3427153547791,9.71850770593164,5.25598054243574,8.82697554465085,11.6826209192845,8.03888534167436,10.5363668850882,10.3987490434347,3.44017200390863,4.29974053184378,11.7435873684799,15.3617710730723,10.4998072147532,12.3366275332551,10.5192912394068,7.62100758636188,18.9264461707044,16.2430094254069,13.4402913018039,11.6902194176828,10.3368106937942,12.9994493809941,11.7219780329028,10.0398380866559,7.94468697977254,7.72905864961103,10.8489973305454,11.0404339671095,11.3483833958917,11.8355291074827,9.22619977251816,-1.69388873909929,1.44471961437648,2.38887128792658
,5,4.73483023019298,11.5203139558125,9.96047944150496,-5.15876435283417,0.363664727127798,-3.19767616883837,14.6962375199068,13.0994779867224,12.4181360233688,15.2888109687478,16.9252597809768,12.8087527150096,9.38413754187877,8.73169942133882,9.27339460289295,11.2038804201684,6.16525835136554,11.2079352546043,8.66359687172599,6.35168005969308,5.07386592354351,2.78929084741185,3.01746468113242,7.05109667608394,17.9894230777772,9.08799544616841,10.3512235586013,9.44995541232902,15.0326422019893,12.8550955655455,11.0412233140119,13.266155936929,6.1747014153907,10.1930593136531,14.9858934035419,8.87184098527678,12.4585175840721,10.1200456408483,10.9997869139634,7.58986697044202,13.4214220147883,9.90974641237472,9.86941335082111,10.7330069532227,8.59650402122725,7.11391048072574,7.36053315665049,9.74295539224568,4.6981471464278,7.54168642228387,9.0201639944662,4.83865025642308,12.2945342384414,9.63823579575728,11.5376637995137,10.1297051355473,13.2622769184527,11.2840756916971,7.4380480167506,8.05587826347892,13.6484343419988,13.1232581093391,12.3144354969054,11.6563155676695,9.73520089848626,9.96377254948538,6.75048192101622,7.78231416704784,5.30602845942349,8.44538493594837,7.71952070151201,11.0525987050464,8.6326421888466,9.85253128624709,8.69060698234989,0.505330049289114,0.74745113541303,0.0508953760877375
,6,3.33976647702684,12.3623689817487,8.92129349164952,-0.183162749950498,-1.56054974574681,-5.77183669090891,7.75015542330812,10.3769403067545,6.2961501302043,6.75308856515403,6.3946637604854,4.86769187999062,8.56842806806162,3.31141318834034,7.91749305602934,5.79864330717282,5.93982003079282,10.4640746488049,7.44116972450956,10.6513107614828,6.51344981886859,10.2798044765941,3.33429237855989,4.55481746829309,14.3788475922347,5.6045951377605,5.38439132167287,11.7192442178589,12.7960415555917,10.7820164608911,4.61053420985263,15.547307291753,6.82847499627178,8.81903810496215,11.2855877599545,7.69808183936266,10.1949769466846,5.1391738293346,7.68007836831157,4.11810558472553,6.18579710256336,4.82738028990343,7.58835866886739,10.2920069783409,8.40648632394141,9.38806661177341,8.46148500465551,11.0026453354303,4.38793198195708,2.29062562656918,3.6644901184427,9.88424429296401,7.2933742517198,5.64923085258579,10.2300482244973,10.8764606478749,10.4738825400445,8.00352340176914,7.61974919780232,12.2581884354177,9.38452711298851,8.10272140105099,10.5237174843542,2.19589525754782,6.18241084878173,2.78293746954296,7.19581183283981,9.59877133962755,6.59482117406515,6.32311610414217,4.3262698919275,5.93173483005694,6.90421835170355,2.26136159936277,8.93401500044502,-3.73763820350041,0.656730663837607,-2.43379302216636
,7,2.05672855979765,6.19767632197045,9.14779118192291,2.73201222280204,4.07313665026459,0.733573741075816,8.08452710670781,9.02657622075276,7.9354899260079,6.83839200678131,8.04504564501985,7.96071287419863,0.132507962070122,2.79609060639632,4.821929498195,6.65338890703515,7.78258813896309,3.26564143864152,14.6312197369907,12.4000658745581,5.8817504593253,4.41227898332454,9.52375511503897,10.5236199562523,4.51857129442897,4.32425480359097,0.256822181791904,8.27555828769664,7.14937987805888,9.27419620605906,3.75290298511618,6.54016363523397,5.19900328452468,7.23605082694621,7.29699288829715,5.19230079769386,5.93634824336232,2.51312554135211,6.82092259956107,8.85909269057584,8.66181097031767,8.25597173960932,6.73856613138878,7.05253628776836,3.15545045786666,5.10943266943923,5.01780186887663,5.14499228426575,3.33893267974508,3.60708859411488,6.41172558648213,6.04433783380091,10.1196728091163,8.83841524393665,6.42040063469631,7.14149612903657,5.84487913224893,6.36830559242662,6.15126751206299,5.2083921225626,5.13716210137181,9.83309857867016,8.13454790940614,1.70635225980004,2.17832942233053,-1.1896287011723,6.93557079108541,10.1474771835851,4.92192100951343,10.5482726141759,3.66131538810896,5.80466857533065,4.28063165294452,8.06400698705147,1.47223726765469,0.40067617206023,-0.598289938676771,2.55587826567034
,8,5.68499819122326,8.27868043763328,5.68918421579383,2.15339999215257,2.08835118380421,3.49295454976209,3.95573951042434,9.54073300179061,7.08580827447895,5.11245861919315,2.44270128229527,0.427000380644131,3.02214462648863,4.72746429713652,2.72942032426545,7.74268143548625,8.56137898218549,5.64733025398209,8.24939988071083,8.58989989912379,7.5933339744297,5.52210134209827,-0.0714398405521024,5.816690655,4.66488792251903,3.166917037649,0.565623885366222,9.40058287967122,7.3761119892979,11.6105808829302,4.63645288942917,4.4063279338734,-0.371622107371422,7.62570449064924,0.788025259555525,3.70360887565312,3.91724827804728,1.53232172561547,6.20682986496922,4.37621798690316,5.12463817052776,5.88315306652385,5.10139328324885,1.37192869750243,2.2249666216394,4.46803313105329,4.14398106164299,5.09348824460221,2.7707367322746,4.38530201800404,6.46079663616001,3.02892412507663,4.95854783458481,5.80644080068578,4.76559876199281,-0.352634217910236,2.95438732139564,4.2271939358975,3.03148132827891,6.08390586444466,5.62830243375356,5.78767570051741,3.52370648856913,-3.50643994379425,0.0829809387869318,-3.7276712882508,4.64616332215428,5.64052484321428,6.86990023319822,3.51157696740756,2.91559888814527,1.48634019778365,-3.15361752433637,-0.0555786025402085,2.22697664727639,1.90512803486445,-2.12288852160873,0.0162776232291435
,9,-0.570004882624744,6.61201684539083,4.75383230181615,2.68953981440154,5.63710215634273,1.91683750835819,-0.299735133910417,3.58731376214382,-2.92197838426728,-0.965833937535535,-1.97411246040156,-3.25045330677904,0.0870943091626941,-0.707488579555957,4.00678742017635,-2.7404293835948,6.31132212353714,3.63631215507576,12.4814170209247,5.60247614408263,5.32116510440528,5.76772649535314,7.19557746236842,3.873611739441,2.09638781561353,-1.3594111464904,0.883185922797111,6.265706419862,0.340203355534413,5.27576578756634,2.51063987478983,0.907086543324112,0.694218634513618,4.95265432266251,5.66821637469138,1.72677853623873,1.07906470037233,-0.396064997789836,1.17790019726817,1.25039376821996,1.38204180045977,0.00618930581686072,1.57234143980031,7.41559495327328,2.12498672413085,5.70958541495656,1.3664787463872,6.22567399775926,-0.538876592073848,2.66203098548203,1.84858366557091,-2.84215747332109,0.315091409762317,1.84302373156152,3.16196020135794,7.03183685378917,1.75244764996887,-0.418830708634232,1.35937708685469,3.31185383905085,-2.59026486977245,0.421992658183171,3.62139451113126,-4.26131303272541,-6.17499236097046,-6.61971026286255,4.85067725238378,1.59152309630781,2.49448779742988,1.87086477443654,0.0422746759509209,3.45738503412485,-4.93486803427277,-0.410172580835933,-0.146949993713861,2.64642708072051,-0.164740560940118,-2.23802461847572
,10,-1.64608460249565,4.06611064675326,-2.55476107437653,-0.1198111304534,3.85910825572091,3.56804120541938,-3.11034756130357,3.40216073260717,-7.07315186732558,-9.43134394986782,-7.39093066024043,-3.92815443814925,-1.63176787715747,-0.0621088209031768,-2.91675928159293,-1.68880332027902,4.99266091752725,4.02065405063149,6.12859774979324,3.36300729602772,5.28897991745953,4.12621855654197,14.8451381860823,2.30306922643422,0.465420606744829,-3.79963942032691,-0.343438380673888,3.53606747260073,0.728274631705062,7.43518370554057,-2.66122646379154,-0.976131081644326,0.479930193745531,-0.965191286291429,-1.45472597579783,0.556977650498538,-2.22848608828144,-5.71964127717547,-2.42408683067197,3.91700132204323,2.14023660449675,-0.601678197729143,1.75627248306137,0.436445950205325,0.558471642925724,0.202085422346045,-0.451192968480427,1.58241380810068,-0.680310241943516,2.0054748882053,0.47323852926138,-3.16473109103981,-0.24421000187067,-0.348665950851682,-1.79333383314952,-2.43581681609794,0.144408314217344,-0.479327101715626,-0.696567243111076,1.62248120539471,-1.90472011142083,-4.48601598719779,-0.873613061851302,-12.050171494413,-7.59221098403577,-14.9456345261815,-3.5569863299761,0.217454895425362,3.17457501877425,4.81293517978111,-4.00149920041031,-2.53485950721006,-0.0465444918181674,-0.219546765737505,-1.32498947892418,-1.37638711226646,-2.56340174955767,1.28266900898052
