,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
,1,22.0068823031625,10.4456788896678,-34.4450997502267,-47.5031182581783,-30.1294014636728,-103.220720524966,-50.5706626479332,-47.2500692036115,-15.9002144088613,-24.0001760762616,10.4172520149332,-47.6390486775681,18.083633372074,-19.493194563649,-22.2750046921415,-17.5418157328281,-26.1080248528374,-45.8126261097623,-52.9033457121,-37.1693531219667,-24.9996588134795,-5.33756394548118,-14.6713733505135,-0.280601616011609,-47.6912896956528,7.73852366997698,-11.012667690396,-23.532854924581,4.41214581937174,1.33422809497642,-35.300470361748,-18.0879515786328,-30.5168243198532,-6.6007250049538,3.30269029603323,-12.3104720048941,-89.0233741787306,-11.6376864124009,-50.3644676537328,-39.7887619977414,0.190134273997046,-17.3484849121646,-16.261345110403,-38.2120145255421,-1.4742738287373,-61.4383537760509,-59.2768651952333,-3.70478117220546
,2,18.7283152370492,26.6614281884317,-24.4589271025111,1.47060274919841,-15.2911263699539,3.46938634345224,-26.1800847049185,2.46416522352911,-4.69980687540192,-6.14856900378072,17.0541169343278,9.58377047045133,24.5869101420344,-2.77059082988626,14.4741843730208,15.7748917926342,13.9748387984059,8.55733391526564,-33.6636484436813,-24.4057345753363,9.94229825674893,1.53353671796276,-0.963314552545853,17.6960071340113,7.75680802647366,22.4162954783969,21.8069392795105,-14.0110905621768,13.7983526162266,9.34403233630246,5.4602057750094,-2.35033307802951,-11.9519267506034,11.5967222433433,15.7086739950942,19.0834281711373,30.7323051595263,24.2354638171164,10.6490372590465,10.7258115288764,11.6901387647877,-2.1975448914377,6.71099783379623,3.75421061197812,8.12970113372785,-13.0031121824527,-3.68197524492189,6.99803772093856
,3,20.6382595753716,20.5655742108138,-31.489594245917,6.03028265680996,11.5019876668916,2.66535553277436,9.53539928437795,9.26387780420782,-6.7466920226334,9.49286937233956,12.8239135031481,8.16347332513942,18.4209374721786,11.4404868532156,14.1948155176215,15.0846751193994,16.1221006251917,13.192568107751,7.21312777583444,8.70992975980244,11.8361952294094,6.87759071585833,15.4365131392869,7.09383504497464,19.7904448738036,20.1418543087757,21.4226800547694,-12.019840114086,17.0202129342379,15.526390971308,11.4898824779279,15.0017627830321,-12.4283169714836,15.1687268412661,15.3286277762836,12.8965974619186,18.1874286460734,18.126809906275,9.97047912309199,15.7761068953241,16.0411511667298,-0.843927660265763,11.5760070372698,9.12513933961327,10.0971166597601,-8.12742490587243,-1.55357921462019,2.61536144439015
,4,18.7377756252663,18.1364975976608,9.75421061972429,11.6034966598418,4.33132882981863,10.1658129331117,9.32868617635222,8.99461333281261,15.9483223880084,12.4175425048056,11.3662191337989,9.21483246480557,17.8543030593646,12.93383732661,15.781801535461,14.3957619655853,9.34905944611364,15.3065977581009,8.17464566813487,10.0813714526485,14.2170271534383,9.39881807570782,12.496904435146,5.62405253030465,20.7626712045908,18.9989440378868,15.5460440377801,18.6028072336385,18.1672456465085,14.9035492184789,9.36201266411172,15.6018013671764,18.0393220744331,9.07043211128348,16.7500787450585,11.6920570349075,19.2291121828962,17.3147390845065,11.1855604456514,11.9189161735703,23.349004356573,-1.01440910140354,10.1480161512363,10.5159504597718,12.9464200598468,-7.61266196095994,-2.48493429943755,-3.61885137093805
,5,8.63689651620962,16.8079160218795,19.2778787752145,1.7619952019777,6.94721149831275,11.0545725033567,8.3576588390556,9.17051635871212,12.8098818724943,5.27369216287934,13.2311760832231,8.81921746231365,9.2040785072727,14.1610403034197,5.52848648634017,7.18711266334685,12.6886611651639,9.54685880688203,6.08336569523635,6.35041390451761,7.03015105035047,6.39919489529075,7.28099008087929,4.30978009063983,8.31638866334515,11.0342209767614,7.07841991754867,14.416912628149,13.6874348313345,11.3603445119334,3.23711030760524,6.23994491873873,7.62849991946678,8.19894109143706,12.5715684486358,9.53763007695488,11.3477659068035,6.57786967535912,9.13949167720648,9.09802642566501,7.98885411370384,-1.04339213927824,5.03918020322226,4.63804542473099,5.295120876282,-8.29591636310033,-10.0555402187606,-8.88415991911688
,6,11.7874033895378,15.1989135352551,19.8338661232892,9.84820240294766,10.6469534903404,7.81137912922532,5.31649531416042,15.4108228777636,16.1038166698122,10.6209206612425,7.33707009641921,7.9033245913547,5.94814621689466,11.2708371874246,10.1696010040259,10.877830668755,11.9532876731087,10.5235153063709,9.79613184821937,3.95742632279507,8.02268951555425,7.59713290492118,5.46257087662525,9.21589025511548,11.7625685355888,13.1531369321979,9.05185297038679,19.7115668631086,12.0140398273029,9.08715618164115,8.05150021745249,6.54365254104414,12.4264682163794,14.1144862045417,6.83634154097126,4.96066507476598,8.34738921034568,12.6304986865402,14.5503633643739,8.50326093340118,7.7335582060764,-1.30005104191059,12.5894008043474,5.16595672709946,8.60838870241105,-1.8504019447937,-4.39810383524355,-0.726780754127503
,7,7.72777902861981,4.84098050730245,14.5072497170131,4.10466620055013,3.2226644968373,7.58163359391438,7.79960939941839,1.70893515700027,9.66463141094346,0.177591779844533,1.72350859163953,6.73057246128019,2.02494798864473,3.82436654931462,6.78519746748498,6.62375768068432,8.87874828094891,7.69022599833988,4.11563867639279,5.07356222209773,6.61551082784354,7.86657133765857,6.05236531343053,2.86781499597782,2.70464097278727,6.17196272409683,8.43979688344825,10.7402321225582,2.85486281849944,5.06955739751265,2.38373488087018,7.19129455386656,4.98219156739924,7.262473147327,5.11217253220821,-0.402249281311924,0.4629570550278,0.630014666698571,3.17334012115361,5.94307014152446,7.07353594627921,-0.871931779316583,6.84742564663702,5.60601938405534,1.63781805086455,-4.51985563263406,-6.25495088544267,-6.59741871189044
,8,-1.4396589889916,1.60888540993574,7.13395088454899,2.59275835709286,2.30417780245716,6.76259693276415,5.01533104719147,2.83072928481306,8.53621994001651,1.07585628186371,-1.20734792604935,2.52435696427756,2.15316114551933,4.29085262439821,1.52475183710476,0.242798935963492,1.55123588130027,1.40598538551285,5.54711996496599,2.93481357101928,1.79472241563963,1.688052348582,0.691886571434225,0.975390312047693,5.19867846269744,-1.55573723173666,1.30014260414828,10.6273782927115,7.42861488384096,3.26115115857465,0.949989944384015,3.09881116725137,7.48750917844518,5.66858221560233,1.94592164129654,4.77673460224742,4.47234354250713,1.48446793399808,3.36159047320416,4.48832295338707,3.97283327897503,0.230666615126665,4.03813962078721,2.47497377240006,5.31286367483881,-7.84382930017182,-5.50684266145117,-3.87335853267996
,9,2.04606873918738,-7.45785477912159,6.48807331638,2.514766155698,-0.177561441845228,3.84265630513573,1.53504864665865,4.57163727773604,3.44052339423479,-1.70445849079488,0.552622639210767,2.5225187091819,2.46497528408008,-4.13803197281914,2.26986040488191,0.787728788832283,0.295954214904214,3.13773989447463,-2.78180953155015,1.57156616277553,-2.81581745862059,2.6172741827836,5.07009589277595,4.16817356619822,-1.72841628029255,0.281624573883164,-3.4084362454405,5.16799047103314,0.835535574181449,4.43771402615039,0.739375649197427,1.43777194729228,2.89862568838271,4.23338127044963,2.74799796388788,-4.23524179550486,-0.0312319734948687,3.83709391721504,3.41888209983745,2.06150653525128,-1.89874521227011,-4.31658015741186,2.14846937028824,5.49386248062865,-1.10178137740513,-0.747555206672132,-2.70818246795625,-5.73383582892984
,10,-3.72674650157524,-10.5794575885966,1.0124360222394,0.510025183747075,1.98389785281279,-0.0583941684058118,1.22693170227512,-2.68440664701939,-2.14909264675634,1.01281666038858,-2.55721733431164,-0.245065346564388,-6.63920195633864,-0.367658870999549,-3.03717886303639,0.53534038162752,2.30304474250033,-2.87782494829298,-1.89641129166921,-3.899044322382,-4.99080132170366,-1.49377460248434,4.9315439754314,-1.17368207154277,-8.75430222724344,-8.2940679160024,-0.714833465013271,-0.338761676394824,-2.90149640761229,-2.96237375221381,2.21463789898326,-3.00355234043855,0.967749171799369,0.346457547665523,2.46413382256696,-6.02866249499675,-4.67499612157826,3.14591764761599,-0.0540579978051028,-2.71175500654772,0.498131147802269,-1.93439447931542,-0.0110443359703822,0.935476786869913,0.174209795707156,-0.623753691942056,-3.085372924691,-4.06897649423945
