,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6
,1,-193.794815493622,23.8131500727131,12.6488641560336,-21.2511152976422,-367.137895523637,-21.7871582096486,-0.708698719302447,-31.171650811697,-23.2324100836431,-4.47771436768107,-91.1107271983747,-10.3502402161621,-42.4518271771267,16.0589800078033,7.73069383672555,15.073270154594,-80.9559962550957,-113.593395170088,-136.893272505396,-112.419648096867,-182.505372340857,-131.161193104289,-343.11345580811,-197.75760259469,20.6952297304797,-131.17789656148,-70.1593798981521,-200.347777999784,-9.5891088319031,1.44802085344054,4.55496210473484,-13.2914871659405,-87.5775849035381,-46.2731297121554,-40.1566231228253,-52.0310216115445,-3.5887134354025,-17.9369498651959,-57.8545753642511,-6.81806297147796,18.917816627144,-90.8538021381137,-19.8935113194893,-28.7799509196111,-61.0741124011006,-96.8244364158018,-94.1576394875747,-176.614009242406,3.22461337496406,-107.852366431142,-72.4921877863417,-35.0603603812597,-122.526279165782,-108.834838356544,-85.4207774005308,-104.414590447274,-71.602351704274,-21.7546159338754,15.5987233435044,-94.0155334781971,17.3110842644805,22.4393534809951,-4.16937629112363,-136.541969248578,-44.9513810029293,-119.72902574919,-144.456953502189,-361.629467936658,-187.607507132952,-6.32130785207937,-192.173969292225,-284.193558532166,-23.7007279305617,-90.2171708110718,-117.546965034007,-115.136911133693,-45.8491483146727,-96.5287474460201
,2,25.1894905428117,34.1168017987457,12.5648628856316,-5.74670653688736,-3.31502453287339,-9.69766819139295,11.7377280681976,14.8345051334727,1.54846514551355,11.8932540409696,-69.2534327230223,-4.0782068489043,17.4561219468014,27.0117166831269,29.7127659690841,27.5082328450671,15.5969782973334,-95.2256707857996,-112.440923995482,3.39341639416944,1.48299011961899,-104.559401303438,-8.42294114359174,-61.2469758154375,35.1333382615003,-111.304176005905,14.4443822148369,5.08197315436792,11.9986238613419,11.1575084673077,9.53424796912532,2.44375833544655,-3.29947049186922,-1.20405394466707,-6.50386029713263,-23.5014582683834,31.214917522253,24.8160672649046,22.0038397426742,15.2979408909578,24.4802210413245,7.97254677587262,9.12411317805709,-3.59632023557788,-9.38291670321451,-7.33245567384984,2.06186048772634,-157.559538803575,28.5296538578787,3.64229310371138,3.72337356245953,11.317167850827,1.72288751801989,6.73844462756188,-3.51264395095313,1.51261286373756,14.4609706745441,9.8561914498905,19.3532479367914,-24.7999393583859,25.5617855949731,18.3986341162099,18.1151513914365,20.645394034249,1.27048039027886,5.05910345302709,6.65051995057092,-337.242507304586,-2.4183776128657,10.2641424134245,26.6763630334081,25.0874866613231,23.6867523665487,13.14547108851,-95.0910547428812,-26.6429468039596,-23.3675859119376,-74.6489153324965
,3,23.2715640256947,26.5749115410663,16.6990208870739,0.370111759632891,2.8882730380974,-7.65578765621649,17.6524798535775,10.3678084933981,12.7077443060107,16.6336191484552,20.1127245155194,5.07392544546656,16.7239422261814,25.5534646657861,27.483618687841,26.9122147484168,19.9955151838567,18.6743837957747,3.04766614081927,15.9375301316522,4.35552518292843,-11.8306559807725,-4.66388921809084,-26.7654376122528,31.5472094676206,17.6010266599806,14.94114011089,13.4592978450719,13.8894622782009,16.5048368698663,19.4195398247202,15.677573564406,17.6434150121531,13.5544035059502,14.4041314487085,18.7860779756093,26.6794778434187,24.9173871993426,22.2604025522169,13.4260760126826,27.1584681367713,10.7558270105255,12.3497678538661,9.15141169355593,-2.28995772805592,7.7451656451376,7.75622505345927,18.0784878290087,27.5827543632549,10.5189484006933,11.8338245677642,14.871448997661,14.6442958324369,16.6487836285132,6.90151688141304,6.65373640817234,18.6815524018448,13.8270151454008,23.7982042375224,9.73078669083498,23.2263269587784,20.4605817985857,22.2811335538399,25.8434966566465,26.6450491866353,14.4039911609761,12.6526348598072,15.4314067519053,13.6864266990306,15.0756527908679,26.0962504122563,21.7692347699003,19.9781819148375,10.7824167922017,17.4567792826665,-8.71871289431965,-2.59149054195677,-4.33114289755031
,4,10.4707178689582,14.8367413850592,9.34022649181588,0.329699000856635,2.93433220035695,-6.39830397395599,9.76297160716513,11.2130031922152,8.54139035938078,8.92831808245955,5.14875984412447,-5.81440427289544,20.3700194064986,16.3384693124599,19.2565905490255,21.5709719905126,19.5993053444963,20.2702441891242,8.11994072171183,17.262244352677,7.77823242951854,-10.4161089508088,-1.24889104171325,-19.388192626574,22.7701805630886,9.39007573884192,15.1072865668002,15.832956993866,13.5982655616672,14.7419126891,13.3096775800632,19.6563250465761,16.3642970622186,11.0381467841253,16.1275693391663,10.9109833041484,22.0201633045754,19.5956558755925,19.6021502082331,18.8245178456045,22.8966594450558,17.8264337713226,13.9102748919277,12.1163961106604,0.379919252000946,12.3048581098228,11.5017761188001,12.6847732974757,22.2838530790395,12.8615919227659,15.5532432796654,22.1154273794418,13.7830731556305,18.3222624250193,8.34123488767636,11.3054131389463,19.014722939939,16.7517959067782,24.5184161122288,10.82960206185,20.6866473962718,21.6115268551803,17.0256082898586,24.4930418001668,27.2070135527665,18.6708176403145,14.6514499030445,19.438098447381,17.4913721518496,18.8130823030369,23.358253762779,20.2896871654411,22.0561847900135,10.9906175102369,13.2209833936959,-1.51953488647541,0.0345424996157817,1.52126151975881
,5,16.7700215686618,13.9324922716332,14.2838740450979,0.524197152237321,1.67114841768398,-1.58872153915308,15.2971948783397,13.6223941396138,22.2354400390532,24.1834750966818,22.0246679717293,23.05250392981,17.8390587601307,19.9639599234742,19.8315482142289,24.0895540652182,16.8959889126772,17.4676698249405,9.13193993364712,17.6606665332902,13.9603676688102,-4.03378922323554,0.978261986584585,-11.3162830614228,18.7796156959321,9.8230423666073,9.42942964442045,11.6442824083288,15.2188283883197,12.6834448775207,8.41166264119329,15.5835758616704,14.4108022655792,11.7613042613193,10.9554978985861,4.38596268208767,12.1061795638998,19.4542071804108,18.0234544009909,14.1211976331788,14.9076029114194,14.7197973977554,12.8541964386859,15.3029557049222,-0.663631828732832,11.7555376474011,9.78391215098691,9.70338656434433,15.9188218343943,5.32954099439394,4.19480121967626,11.039702492616,12.3366314581644,10.5509563667802,10.9838487962925,7.41793216738733,17.6797494829598,5.98232960420501,17.6787286974431,12.4734216568459,10.4820317488702,14.0480232187256,12.5460429370096,20.6674174295322,18.2240509471549,12.7139928763227,7.63918444768933,8.45447688609602,7.02489017874723,13.53899470531,19.7267500063917,19.6781069485523,14.6176725434798,7.99237483586694,9.89005641739004,-7.63715535132724,-2.60102471173923,-1.39703424554045
,6,10.5417566527917,8.25471963851487,9.87476502443224,2.27018943053827,6.20484212526026,4.08276156000829,8.07372833808222,14.3370676218801,4.05801491603052,20.600093496304,15.3719229247954,20.5765830357286,12.1407005515944,11.7167021263931,17.8354498041836,9.85509046252537,13.1817135318161,15.567095276243,7.93901936505608,15.018329853152,11.5218550443979,2.7857336665611,3.46875413874113,-7.57825046583184,11.800874421574,7.12432304377217,5.47163255479427,10.5750416963965,9.96745488163924,9.91363307517531,12.4064569753791,8.60591460582418,9.02342483420216,5.49602448328915,5.71819307115675,7.83240909741471,4.90303917736765,10.3954270229078,10.5413333023616,9.88218320895976,16.5170618893717,11.6457441861749,14.2592008138872,10.2941828322328,33.3106887360627,10.6507272030285,10.274967698384,10.1634374412497,14.6783391336276,12.0419222347809,8.57177300602598,7.92169389625269,9.86875392027741,10.7102562604323,11.2959971371092,9.95596587861928,14.3830337459958,8.31679229298152,13.7395723816981,9.84249023188113,3.67014869462582,3.13006587556538,10.6916815788245,16.4908976214138,14.5069084565166,13.0307594493988,6.12072561202422,4.68303886754438,6.43228336606353,5.57917802490738,16.1564122843156,14.664131622153,11.1722584863528,8.59971952973956,5.149175651105,-0.0447695922639468,-0.203702988726036,5.53355163890228
,7,5.1011010473685,2.96160747316571,5.60793689659477,-0.268755330220301,1.43233976732699,3.05139195259017,6.19067036096567,7.44726488526067,8.65503318936862,9.77597589687048,16.0062474587021,10.1143342952,2.36267996296738,7.93463874556983,8.33181933365177,7.3222973952852,11.9125671997417,7.40150877061478,8.67699501827792,6.24113682851657,14.0068697174811,2.08973070444154,5.73505302748072,-3.53430067240151,3.66879230622908,7.97916416981116,6.56138920681315,6.52567466443725,6.67837434033845,6.21149652418171,7.84726485250485,11.1229933956311,10.5865772581974,6.92226106938779,5.60384937848357,4.67450847288092,3.73779987174657,10.8919924379634,6.27676188603346,7.5751486963336,5.43547342287729,8.60104671585577,4.59119730632028,8.56344795442328,19.3304034115454,7.89645961461065,3.86813053705737,4.62144196532699,12.6967024605847,7.90787213120802,6.16470601422498,2.51267744768666,-0.428122839539355,0.960177223430946,9.27159919831684,8.06993305618198,10.8049417915163,4.55614866768246,7.57344853895302,8.2317312310488,5.36349231131589,5.78713384151524,2.92717738597094,2.83058920560416,1.28916690153619,4.61398478486444,6.33219969599577,4.94075320854245,9.41130185323163,-0.192820109051354,4.0767411079687,7.21405822302677,7.98780542774512,8.43011560461764,3.0856685465551,7.21264350183174,-3.82559564861094,-1.44294046336836
,8,-2.95463111498066,-3.10195852729612,6.15062658586248,-1.10480360584825,3.02228237341478,7.26733761903961,-6.32680895485191,6.82403323377184,-5.19616271161794,-10.8051049225587,-12.975091017056,-8.06882758077336,-1.05374975909217,-2.90292989617865,-0.117554678515262,1.04963640105871,6.8479119563126,8.20787201113581,4.30054468904473,6.66799009373608,9.81192580558127,0.0444487217318965,1.36675530833509,-5.12048507054169,1.06355434478246,-6.22728639185698,-1.80790564258768,5.43235568189721,3.23244762747981,2.48600582717518,3.06109243036462,1.69126739175681,2.64141606840531,1.32256300635527,-0.192294753481292,0.446716918954735,-1.5439523676614,2.61923836334427,0.844534531885984,4.80207536132275,1.62038840197329,5.57728617362045,2.94652622397552,8.14651487705396,11.6931546669521,2.92979455710065,3.50496076749187,0.259459264319958,5.12636000676684,2.5948277728703,7.18502771302155,-0.0831289403695337,-0.505622256722745,-0.559699267400902,4.2823790720995,8.55393387535969,8.18823961960879,1.63946569741438,-3.57157267575985,4.22308562290891,-1.61652697925183,-1.73922844073695,0.618687579857578,-1.74539877346342,1.21501825551059,5.73055661064063,6.30824816792483,4.43130618879241,4.36593863750113,-0.746233480202136,5.43514750505256,3.93638665511935,7.61342723368125,8.35926525690775,1.15257615746577,3.73199664335698,4.54166737000014,4.94841221006391
,9,0.836430671467497,-6.55675093114587,2.04750786853947,1.73554557543684,-0.283744268421287,-0.494581656644186,-1.77405360965258,3.71614000849786,-3.18483503538209,1.94678269296583,4.51665118492656,8.16144216137218,-3.75910035966217,-0.825587556313621,-3.28835096662715,-0.959823262754071,-1.60624958566132,1.64176194679294,0.19396270890411,5.53104229575729,10.2136124897042,8.2911036241394,7.07872289689567,-3.84869453380816,-5.80749355061835,-0.280596424556279,-5.22689853957399,2.15191107329701,0.726750260530025,0.755462158205773,-2.88394794455144,0.15486651365427,0.774855063333234,1.11146243033454,-1.76302887467409,4.41069419390624,-8.21640930571721,-1.40996885576533,-1.83812582862629,0.487146657337689,-4.17890235242248,-2.11407114881877,-1.39570273277423,-1.54200484870034,11.229287572909,-0.237007772025208,2.90593807739151,3.63564281171148,0.644959063979513,4.73401718824425,1.81146274579442,-6.69744843272565,-6.26460301559109,-2.03410302223983,2.66991267370395,4.08354349167257,8.74133411629646,-2.37304255540766,0.327112369694078,2.66999302684872,-6.4889848986104,-5.15800622364986,-5.48190850267474,-11.6634934267313,-8.14409335171422,-4.90662100748978,-3.16487970493563,-3.87379891492856,-0.802345087933645,-9.79107312949873,-5.95578948907769,-1.2910739488334,-1.74064215098224,2.07961616548801,-0.0891712076772819,5.13034859171694,1.2029485241419,0.390224633102662
,10,-5.62853600252174,-3.18342803095584,-2.23584948564076,0.384377466884871,1.72907724078595,0.111286384725645,-10.4957129962067,-1.06333067470405,-5.44016117336105,-3.73822130154531,3.89400245446996,-1.89493118450446,-9.73225785667773,-3.91252441402412,-3.73206043522987,-4.41647931519037,-6.9587695149803,-1.25798833409681,3.22254485495887,-0.313625093347582,8.11533875754685,3.25268000641609,2.79195472966148,-1.16701676506909,-11.314801763353,-9.16311799222785,-3.89997198089895,3.48206269086313,3.96313421579453,-1.94661996749801,-2.96071934269003,-6.68285627961086,-4.22825995813037,-4.67633974620821,-0.574934300449058,-2.85704685366181,-8.78964286555129,-9.28865903654059,-7.03531738021502,-5.39438474274539,-6.25563518933268,-4.31907872574629,1.68314463650404,-2.00938868672893,5.83769620618841,-8.41988664751807,2.86620163145108,-2.67325480447107,-0.0141648944854751,0.0269227236967708,2.23876412708796,-8.62466267145737,-9.28899293113227,-9.83051285433794,-0.827952533130883,-0.0533906032851519,-3.79126922045998,-4.45901804833647,-6.44215193688706,-8.78178269552609,-13.2517389359427,-11.5823365343704,-8.72010458872774,-12.4333629066068,-14.7063374229328,-10.1598371673454,-4.3952729260518,-9.40504048804632,-4.03119884163516,-7.14972749596564,-11.5501622739157,-5.17040329112115,-0.718242802378882,-0.935488883945254,-6.69551058814068,4.98520835979343,2.52154181361675,1.49155579858507
