,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-0.541857468730086,-4.2631111962437,-51.9376392807417,-52.1426280302508,-108.106991085489,-107.05607142509,-71.3880274353864,-88.6627569145389,-27.0171198613439,1.90846178105676,-5.88279414597991,-272.119016543194,-73.5652701537415,-20.2110509339377,-57.7648142894391,-25.8818759754599,-91.7890222351339,-91.1640792947087,-17.7275550054292,-35.3596573284367,-31.2063935712699,-50.4609043904475,-25.9449901612602,-210.706264455167,-10.0001735871156,-11.22304519107,-29.7210346006323,-22.5544729731682,-93.6597819709368,-104.699965707151,-38.2384527398754,-19.3129116843129,-95.49616226739,-16.4231813694578,-15.1678788312565,-21.454578263696,-2.90828104435013,-86.3233892564676,-27.1962048284795,-22.7398200267994,-93.5914300366339,-36.998963803796,-138.467367769842,-41.2935642927914,-111.979576302189,-80.4434561279254,-17.5742291114993,-44.1411633772677,9.21123329555303,-15.1068634847716,-19.3283645684805,-15.8152980347095,-19.1157708292694,-21.7329378747581,-14.3957773065167,-6.19982910138151,-124.672448529419,-53.7102913394911,-22.9456984904155,-9.59543599966855,3.01661512290957,-22.6597252220363,-21.1978419776838,-39.4917954943385,-36.761233653574,-105.161393312082,-23.5498977922971,-28.1438541113457,-40.5417188808888,-13.2678354231803,-33.9868868559915,-6.51756871088764,-131.742362289254,-108.921016534718,-6.15463665324569,-72.7085490579675,-55.8454834437716,-78.8443958518783,-33.9407604886173,-19.0030283322758,-4.04150945279071,-19.1287507128245,-90.8273640959151,-67.2919061949842,1.13803965754687,-7.96142744455665,-7.326539616231,-1.45764970050823,-88.7891759669014,-9.99227174161297,-14.2568637279333,-9.27667641615699,-187.883531907386,-25.6022539301821,-66.3139594195272,-211.843166550107
,2,19.8845467124002,12.4656405348323,-50.1854656452183,-36.9188555230053,-36.1654757131068,-3.14666172080888,-84.6358303549405,-87.7040892821469,4.85974688134047,2.17267901332889,14.6800071695079,-69.1245411297159,-6.01960277558464,-2.60057730031076,0.85218295862569,-3.21964961840058,-2.35405051087673,-71.0469396327699,-3.62680576993625,-17.5533725584019,-10.3714781535091,-9.35079944228528,-2.44128257672855,-60.6560072953948,8.70275011010563,8.1251101744092,-1.98449649661143,-3.82691670342319,-1.91930826887619,-4.58577051289467,-12.3479706723219,0.0725070489197606,-6.0921750954758,-0.569016220310004,5.49987892761692,-5.41223671319221,6.20392316274501,-8.68207226257073,-8.45580720725366,-14.7709623931969,-23.1754270056372,-19.7930011121971,-11.1918588771296,-24.5286420623079,-3.9715126433357,-5.2771670993975,1.0519801774426,3.16977759642305,20.461698478799,3.23186053292739,0.435971357118433,8.6090545667812,2.79888337679677,4.86894952547027,3.17263720301889,6.84918909642693,2.58504977971552,-34.399302036868,-0.216436200798853,2.40500962540318,13.6309139319164,0.225600733188003,4.90129363283995,-13.4501378361965,-15.9346040151804,-12.9572871768705,3.52555762376505,-7.59129111927359,-3.38620213845388,11.1050862930115,-13.7631906150727,13.9690564494349,10.4975699628312,16.9844379902806,8.43931775176861,18.2244640927629,19.4787648052397,15.5404724946229,11.5051421209992,8.18752309613683,11.0090144884689,18.4209144261822,-77.7904527536102,17.0733920933699,10.9804087827733,6.29981729841165,6.82493009356858,5.21740502699686,1.91990456979147,-4.69717576749008,2.54462581818598,6.51940848202048,16.2028087030139,14.7909788928887,11.0075056032847,-25.3161195282382
,3,20.684759128706,17.8476166095743,1.96631477833944,14.0118520005017,5.52906620440035,6.69257320942233,9.48018369686451,13.7568064600127,13.4037053982138,5.48158992381104,15.9581930344821,-23.1178181473001,1.69295701832289,2.54583517321771,5.78841743635667,4.74472737302995,3.97159468018617,3.71620350059766,8.33966023369339,2.75838906673107,0.206414616017355,-1.34027030631569,0.658797499463162,-24.6675078639441,9.51210353362512,14.3511407050019,5.80829916282983,5.85303960889269,7.13076152292251,4.30989032318939,5.57322153096993,12.9596995125457,8.23419905322953,7.72418049088446,13.757023031113,16.2782736036979,6.20298376967276,3.02878256103486,-0.129868678196999,3.93083395461463,6.16248494811134,5.53198547161264,1.50924604538886,3.6392378650653,6.46880652297023,1.06580204489819,11.8938118584601,3.90968630081989,20.0249747331982,11.0124292764012,10.1932526006249,10.6581213549753,11.4196031380761,11.0561711815217,19.4604579333982,12.7449503251282,9.74682187405779,17.5794943314068,6.85426373957398,15.0595742649202,9.03472506282105,6.45545785252489,9.15252588684052,9.99731241812242,4.00822698257161,9.68876757462476,7.2397308885711,9.16965106959651,5.62604569081486,8.8435729424782,13.8432595063987,8.42646738180338,12.0464386215554,14.4888288686006,9.58175938577915,18.5686830735476,18.8308608145599,21.6376128717566,16.8980338681231,9.06204156626336,16.7910131348644,15.394353924391,24.867090111673,18.2372525726369,12.5907177728113,14.1440270739758,13.8484030536024,14.292438898719,10.0465263675774,-0.997443389559521,10.8114864859003,7.62965462059492,19.690917543357,17.0115040747683,15.5102149747354,-2.9412438148056
,4,17.7594117641052,10.857705735054,6.85109692828337,8.91832730092256,4.92238474544138,3.46166520464885,7.46174421272008,5.20242353836238,4.02853513872833,9.10260091822602,14.9044403831085,2.21906148819835,7.02073570183029,5.18728044949285,2.63455872682425,6.11911395449715,5.29683724150527,7.5913676785076,6.43547033715004,3.20694788566743,-0.471959524233171,10.5284025433643,5.64619997849923,-4.80132036794066,9.18692712392658,10.7548842516371,7.94607174361045,9.36536971829446,5.59714795196305,5.94697512235871,1.04205885778356,7.66700814874639,7.71681076463938,6.79899777346327,7.2889704127083,8.16544292723029,7.60328594120165,4.38972686768921,1.90818250123129,3.78040178580522,6.67357160784832,2.85611008891647,2.87688201244418,8.44778260441035,8.92545924681144,8.96698719703954,2.07012706495789,7.29852691737824,14.0105343916548,10.9833847147602,4.25494261939821,12.1802092972093,8.27344132577582,10.5096609420561,13.2322237969884,12.9315945431972,9.62325802206487,15.8248588947927,7.40276405810619,13.8817038523939,11.4912559102359,9.38285631104009,5.47311372224385,7.69129047197748,6.38626335139634,8.80340372283808,10.3456179172654,14.8335541078723,5.39320482615858,9.41817706040456,1.29499480049981,14.1829638897625,8.92495759631493,13.4491085812097,10.3539760586555,15.1911732479803,11.7519453627801,13.3657670761759,8.92267448753228,10.4702551544606,9.71355919357575,12.3638120945161,13.8307248363244,16.5581304857988,13.8428771404706,10.232209189835,2.07032237227713,16.7910779439471,9.55669344045691,7.40160002929406,8.1892185450688,10.0228170901123,12.5402252328586,15.9400590620307,16.1051593035882,11.2927721149817
,5,15.3203072834972,11.4904586815246,10.5387051340194,10.739956847664,2.84381902299538,12.9921271494277,7.33359281967842,11.0137718253527,6.57348209625616,10.079314137779,16.4530180871743,14.24413820062,5.82876658509849,3.40097294238331,10.8760984079277,9.32031072924474,11.918730572077,11.5471148621546,8.57898812269923,4.97007658368875,8.28630878715649,16.6413230057728,14.6419925585737,4.17058799211327,13.934984421282,6.42200719395078,8.38765867652455,11.9180133232167,11.2663225230708,6.95237163522415,6.90515720109397,10.6659731076224,6.54121923534331,11.2498657292208,6.53629657359488,11.3971652580849,7.53184361567492,6.27678883431963,7.60024224297786,5.70613052113458,6.72321443523833,8.32852369419561,7.17336864168556,7.23564616969452,11.1574098272968,9.06173597998941,6.81975461915681,6.4158718742201,13.6873249802311,9.92722948617666,9.42100666523675,9.52002081172031,9.16282100822991,8.84603867053193,13.6668435125948,10.659980878816,8.7481781360384,10.679046031486,6.9121544812424,12.1383936757593,13.5266031145929,13.9392464779803,7.45749944628415,8.39572359104841,12.9947274106962,6.22113733327024,7.9179195382867,13.3222912377496,6.22431894222336,9.75383856925782,5.63302552265213,5.84886793818077,8.64135960244494,5.74410725754387,9.96802910007318,12.4565194604847,8.82659245004288,12.2156903235364,10.0925729251176,10.7349780853638,4.86913234654185,9.90922741238592,6.86864589323068,6.95229209547961,10.0724380872625,8.62028472228576,9.08881773804706,8.1560992381942,6.51753794477509,-2.61340202954989,11.8230511839311,4.6345722998276,14.7470808525854,10.4258794847328,17.2112577336948,13.1986662463987
,6,8.45507944399196,12.1510959357975,9.39172464749208,4.4405326474548,9.07498300588577,7.45066289994429,9.16811058220355,6.61616224098088,10.3172428486032,7.03890963688809,11.8530477442928,15.3886486846245,5.91559600264964,9.26735424475464,11.695020731423,10.5125947916049,9.10810238532122,8.78744386729704,7.91232973538808,10.0985809576259,6.11179016604638,15.6060486561969,5.0691294291687,12.2914561144926,11.9287139207827,8.40020682838076,8.10788718189906,9.01769395944393,11.1666932412672,11.40446838756,11.0103084927032,16.717642476272,12.5569812581643,12.0606951456739,4.55151054315684,13.9479122091279,12.3257940728663,11.0850707352693,10.2975071553315,14.4690527433122,8.10266983408474,8.69165028520183,11.5651714528594,8.54977322768991,15.2592359125729,11.5244982057338,4.85751699830053,6.49608832235026,5.12380119458885,5.06125819015597,6.19043263496133,5.48204016293494,4.33523605942173,3.80612768422361,4.91616361021624,10.1904340980482,8.29836470447935,11.8831300628599,0.627849381487067,10.6083783391532,12.5559112260189,10.110648154865,8.22284094744327,11.6528608752624,12.1290599656531,8.2950924040224,6.14978809477816,6.17345208314146,10.0949571684214,6.97896957794819,7.0828197441906,3.06440156894951,11.0433168944246,5.84853689917691,6.44363251399955,8.63215995242081,4.57446377670021,6.33814259396968,4.93021486431098,6.91445277240109,5.04800802831323,4.64510263704324,1.76116439879206,5.63024200379186,2.05914042180302,4.98757851173013,6.72446230971173,5.58421017759247,6.80672360290873,-0.743476829072733,8.9810219608039,4.17758274560265,6.58734653857118,6.78165919400453,9.52800610184022,17.1967186839947
,7,-0.931587163774566,5.61146964938416,3.42492776702966,1.8113760244778,4.28057324674364,1.24079604642702,5.02456405498197,4.23166618285995,1.56464322956617,0.56880464115693,-1.60270039137322,6.73208689871672,3.64053359331092,3.85970855498317,11.7427938935866,11.1038979204632,11.42465501691,8.89600453428466,2.21366629886688,6.73978927882126,12.3001765451208,5.54552691360232,5.5542404635421,10.085354103117,1.90895676416221,6.16183803381773,4.25600987506277,8.49811371055239,6.69292255150049,7.16852853824093,2.85388100721775,7.08972673430162,6.85104564394624,9.36514648495177,4.73611821031864,2.97555434681271,1.74453383363743,4.32836562926968,-1.03811409038508,5.86076212017724,2.36121020319024,5.25847191583944,9.33490877364056,1.53293950590341,0.581970567354801,-1.41482052720721,11.6623957006923,4.01533320676481,3.24124447221311,5.86135891356571,5.57681872454123,-0.369688151783521,1.77059145872954,2.85267253725851,6.86329162205948,7.63310588477998,5.95656985142341,-1.59131084973069,4.42509575792792,1.08864461846406,1.79532657575237,-0.52328918609237,4.28575114352861,3.8439967015629,5.99350424041131,3.75928305482284,-2.20289101802882,3.94272402176193,4.64874483773019,0.787285315398549,-0.957039574476767,0.938235774102395,5.17723195340113,-1.78806911842912,-0.682335720106494,-1.76213783846833,-0.332829074644906,0.998578281037226,1.16060401685081,5.63245001487576,1.57633528113274,-0.66893974739105,-2.21477455813965,5.17688506681861,3.41992581764407,-4.64907625075466,5.08763375435774,6.78693951189689,1.97342906263975,2.865015640396,1.26564905995428,0.740675814231508,2.50451842406756,-3.22014264205654,-3.48935018310931,11.6951118241241
,8,-3.99094815283252,5.93814964902504,2.14082188438169,3.07759621409195,9.94039406047204,7.179787355597,1.33284701852244,-1.88045136923029,4.84298896757718,-4.13487181822074,-2.02916031552195,7.85734479762959,0.881455314065079,4.05511693990138,4.9060234600779,2.89259076513372,2.0080055882845,1.87251643456875,8.62516607123507,0.718286702654041,5.57300638741253,5.28039576304081,9.06600964403651,12.9290615197101,8.34880391487877,3.81044221330922,8.58412318124829,5.76189934431477,5.91671321659942,9.89287822274218,7.26853964938982,5.61726099986845,8.99769351692885,9.19876390341778,-2.79985568537177,6.80848243770834,3.1545163003384,4.22715259502093,4.68993362949504,4.81260558953909,-1.64004266620941,4.57685722320457,5.54638372725003,8.50634554371845,1.66949357062549,4.65705257861555,1.20300602118914,-0.234543679249782,0.535166686585399,-3.07014404366419,-1.30025749573178,-0.574501243741906,0.579921194303097,-2.67772670730938,2.41808888943979,5.19925075371975,4.29008692201387,1.10595200676744,-2.46941767920907,0.76295944276535,1.02745322202554,1.08482575684593,0.41835165041266,3.50643646242224,4.88415499100029,4.9724132616011,1.88489954433498,-2.65929257429343,5.03048930318982,1.21297983700242,1.81495344314499,4.25945159981075,-0.326428953145296,-2.46409943960589,3.14785599670176,-2.68709453659449,-1.32947626494206,-0.311841009285672,-5.33425022657957,-5.40987880433386,0.0141551548240386,-2.67902310767022,-3.83107399025812,-8.08579204836678,0.079898699662408,-0.114165853954546,-0.0296395089612815,-1.95513524724356,2.15062214822274,2.69134680623347,-1.43728246093133,0.370733171194388,-5.02988870655872,-0.417607332242824,-8.68069097336593,9.95688246971258
,9,-7.7437127185176,-4.061982337269,0.071857201442981,0.115188106389724,4.45878566566989,3.08186514742374,-3.53825050299656,-2.61428243837236,0.501295589004258,1.31320907232566,-3.0429061002942,7.76488348165913,3.80516647606055,1.3101257000144,2.87010706814181,-2.85678441638038,5.72708518124,-0.0610858274967541,1.85811908749292,1.62510310980269,5.9735960549051,0.484319308758131,7.92880678292977,16.2892644886069,1.36012259354993,-2.34953739505181,8.40701794621327,3.04473211752247,1.93827147646061,0.986918011751186,8.41475627729415,4.8300206352942,9.23004120357655,-2.55729837994477,-4.95900776295639,-0.0806739186818959,-4.8543511559169,4.47091306939637,6.87250648186136,4.07122178791815,2.10279638107659,1.25638173093103,5.25759418929283,6.19049765436102,-0.539736837205055,3.24115823047669,-1.72129567694356,3.52335444193068,-1.02507303401308,-2.39122140571908,3.852674121581,-1.2893253966804,0.443181450493285,-0.439427063957737,1.91867549588369,-4.52397214258781,0.841389744534354,3.7412969308798,6.56884923805228,-4.08145190752657,-3.23174211811693,3.82727320402955,2.98282649550902,2.92388429345556,3.05642902018917,2.01121123344456,0.483348129562728,0.901516023950535,-0.0793354064535379,5.26922897973236,6.21867217727413,2.20882011442609,5.77916787470986,0.293337525577044,-1.20792454691946,-4.21199325365251,-1.23266294281348,-3.26174835727397,-3.3095423493578,0.0330524501114269,-1.62208070142515,-2.76747734602577,-2.55283811030677,0.551570156234448,-6.75228456225614,-0.699116343350397,-4.26160101971345,-1.62530761850257,-2.68742350875982,0.0771195394459028,-3.49312319972842,-0.784556036334834,-1.98117996310248,-4.28742074886986,-6.07566837118793,1.28176104365048
,10,-7.27684035549782,-0.11505401919112,3.88090503286639,-4.71235396023894,0.449570483671778,4.16336973607122,1.04166377538968,0.439747803374303,-3.37880520278122,0.859356817335538,-6.01383127928239,7.29172757040669,-2.69493024372787,0.207741771188012,0.165874254209939,3.01478303468957,-5.01121339867314,-1.86009145108619,0.402465640989249,1.64236609735599,6.44074014339913,0.158574274300918,5.82120901905319,8.87286637906209,0.0503668056880997,-0.133615967822152,7.9191082102052,2.73447006854349,-1.19527955077319,1.11479697822961,0.309770147862764,-0.499426620511258,2.03725151387698,-1.3365890421137,-1.43544384054712,-8.86010341461679,0.411633816861922,8.85810418515666,9.53019797987236,-1.0588333600017,-0.078219119912319,0.462932849140998,4.89210350518897,0.341185838158708,-3.95678502309238,0.235634163028408,1.6135682423328,-0.945181922207212,-7.44366073062611,-1.47233340720504,-2.71353787394582,-1.96076011383047,-2.43836452742016,0.975634940488817,-3.64978309062826,0.804224161435741,-3.76228614387674,-4.41227421225449,4.63560334775957,-1.80006518628852,-2.42943505722178,1.85325659793307,0.763886641798763,-3.15168191140128,3.71353371504483,-1.75062627999705,-1.58792582488513,-1.5021053918108,-0.375371196781998,-1.01554759184728,-3.60719743739173,-1.53515264769703,-2.57159028741808,-6.56683341027292,-1.90598110868996,-5.4988315941946,-3.01205231131826,-10.5725063685659,-6.81501117134394,-8.96499779352416,-6.97568308628888,-6.00657612779924,-8.03996955913135,-6.89536560418674,-2.27837488627483,-0.245511390808133,-3.61639974141917,-7.45817180247695,-5.50171666854112,0.737732393952228,-7.78267537542752,2.22716624540362,-5.2659408991708,-6.42171142299276,-12.3002650627295,-6.73375950818081
