tag,life-stage,init-treat,bag,oyster,March,April,May,June,August,October,Notes
blue,adult,treatment,1,1,38.3,38.8,38.29,38.96,39.05,NA,NA = dead for Oct oysters
blue,adult,treatment,1,2,32.9,34.1,32.54,32.88,32.82,NA,
blue,adult,treatment,1,3,41.4,40.7,42.4,39.18,41.51,NA,
blue,adult,treatment,1,4,56.8,57.1,57.13,57.75,62.93,62.54,
blue,adult,treatment,2,1,37.7,36.3,34.73,36.22,38.03,34.51,
blue,adult,treatment,2,2,46.3,44.5,43.99,45.58,46.05,44.46,
blue,adult,treatment,2,3,45.1,47.7,47,46.12,47.78,49.31,
blue,adult,treatment,2,4,70.5,73,72.55,72.51,80.66,78.36,
blue,adult,treatment,3,1,53.9,53.9,52.98,54.45,61.12,64.78,
blue,adult,treatment,3,2,42.4,43.7,43.63,42.73,49.95,47.27,
blue,adult,treatment,3,3,44.6,45.5,44.37,44.47,50.05,49.07,
blue,adult,treatment,3,4,60,60,59.22,60.08,59.38,NA,
blue,adult,treatment,4,1,68.2,69.5,70.28,67.23,70.57,NA,
blue,adult,treatment,4,2,38.4,38.9,39.14,38.45,37.68,NA,
blue,adult,treatment,4,3,49,48.8,49.73,49.04,NA,NA,Dead in August
bird,adult,treatment,5,1,27.3,28.3,28.56,30.08,31.8,34.9,
bird,adult,treatment,5,2,50.4,50.3,50.57,51.19,57.66,58.17,
bird,adult,treatment,5,3,40.1,39.9,40.84,40.12,45.93,47.52,
bird,adult,treatment,5,4,34.2,34.2,34.32,33.11,32.9,30.16,
bird,adult,treatment,6,1,57.2,57.9,58.98,57.6,57.53,NA,
bird,adult,treatment,6,2,49.3,50.4,51.14,50.26,56.46,57,
bird,adult,treatment,6,3,31.7,33.1,33.51,32.15,33.25,32.54,
bird,adult,treatment,6,4,52.5,52.6,53.74,54.74,55.16,55.6,
bird,adult,treatment,7,1,26.9,27.6,27.33,27.27,28.85,28.35,
bird,adult,treatment,7,2,33.4,33.8,33.6,33.51,33.07,33.05,
bird,adult,treatment,7,3,32.5,34.7,32.43,32.34,32.06,31.77,
bird,adult,treatment,7,4,54,53.2,53.5,53.99,53.54,NA,
bird,adult,treatment,8,1,29.1,31.9,31.48,30.9,34.72,35.92,
bird,adult,treatment,8,2,32.7,31.2,31.49,31.13,31.49,31.14,
bird,adult,treatment,8,3,52.2,51.8,52.49,51.87,56.19,60.87,
blue,adult,control,9,1,38.5,37.3,38.1,37.78,39.32,NA,
blue,adult,control,9,2,46.7,45.5,46.4,47.21,47.14,46.85,
blue,adult,control,9,3,45.7,44.6,46.26,47.16,47.51,48.1,
blue,adult,control,9,4,40.3,40.8,40.38,40.18,39.07,39.54,
blue,adult,control,10,1,46.9,46.7,46.94,47.94,NA,NA,Dead in August
blue,adult,control,10,2,46.5,45.7,46.9,46.26,46.87,47,
blue,adult,control,10,3,45.9,43.3,45.41,45.43,45.57,45.39,
blue,adult,control,10,4,53,51,52.56,52.46,52.78,52.16,
blue,adult,control,11,1,36.9,35.3,34.5,36.03,34.96,NA,
blue,adult,control,11,2,45.8,46.7,44.3,46.25,46.76,NA,
blue,adult,control,11,3,38.3,36.5,37.37,37.63,39.03,38.02,
blue,adult,control,11,4,53.9,55.6,55.23,55.99,56.11,NA,
blue,adult,control,12,1,35.6,33.4,36.34,34.48,43.27,41.4,
blue,adult,control,12,2,52.1,50.1,50.18,50.33,62.94,56.39,
blue,adult,control,12,3,60.5,61.2,61.8,60.59,70.33,67.74,
bird,adult,control,13,1,42.8,46.1,44.32,45.09,48.18,49.39,
bird,adult,control,13,2,49.1,48.8,48.5,48.86,47.53,48.66,
bird,adult,control,13,3,48.7,49.9,49.36,47.94,56.95,58.43,
bird,adult,control,13,4,46.1,47.6,47.78,52.3,53.54,53.58,
bird,adult,control,14,1,40.9,39.7,42.01,35.71,38.39,NA,
bird,adult,control,14,2,41.5,43.8,44.53,44.53,45.87,47.57,
bird,adult,control,14,3,46.4,47.1,46.75,46.76,49.86,49.7,
bird,adult,control,14,4,46.3,47.6,46.56,47.19,46.75,NA,
bird,adult,control,15,1,42.3,45.1,45.24,44.51,44.03,44.3,
bird,adult,control,15,2,33.8,32.9,36.66,36.37,31.97,37.23,
bird,adult,control,15,3,52.7,50.3,51.64,51.08,51.58,50.52,
bird,adult,control,15,4,68.7,69.4,69.82,69.56,78.88,79.48,
bird,adult,control,16,1,40.8,42.6,43.6,43.09,43.49,42.06,
