tag,life-stage,init-treat,bag,oyster,March,April,May,June,August,October,Notes
bird,adult,control,16,2,68.6,67.5,68.36,68.33,65.99,67.86,
bird,adult,control,16,3,48,49.2,49.92,50.21,54.01,54.75,
orange,adult,control,17,1,52.1,53,52.09,52.28,52.17,52.42,
orange,adult,control,17,2,47.1,47.8,47.88,48.59,47.83,48.41,
orange,adult,control,17,3,57.1,57.5,57.04,57.69,56.47,57.9,
orange,adult,control,17,4,39.6,35.5,42.35,42.92,42.88,42.09,
orange,adult,control,18,1,39.3,38.4,38.85,38.91,38.67,NA,
orange,adult,control,18,2,64.9,66.6,67.91,67.2,75.27,74.8,
orange,adult,control,18,3,35.6,33.7,37.47,36.55,37.03,35.04,
orange,adult,control,18,4,57.5,57.6,56.47,57.07,59.63,58.37,
orange,adult,control,19,1,29.3,28.3,27.04,28.03,26.8,NA,
orange,adult,control,19,2,43.5,44.1,44.88,43.96,43.61,44.09,
orange,adult,control,19,3,65.2,65.4,65.9,65.62,66.58,67.32,
orange,adult,control,19,4,58.4,58.9,59.28,58.98,60.47,61.65,
orange,adult,control,20,1,55.9,55,56.07,56.83,56.15,55.92,
orange,adult,control,20,2,64.4,64.2,64.64,65.29,69.31,64.03,
orange,adult,control,20,3,49.3,48.9,48.68,49.32,53.4,55.06,
orange,adult,treatment,21,1,40.2,40.3,40.12,40.65,40.23,41.01,
orange,adult,treatment,21,2,54.7,55.9,53.98,54.42,54.61,54.88,
orange,adult,treatment,21,3,48.6,47.8,48.98,49.2,50.08,49.31,
orange,adult,treatment,21,4,57.9,57.4,58.2,58.09,61.89,61.01,
orange,adult,treatment,22,1,39.4,36.5,37.79,35.59,40.33,40.75,
orange,adult,treatment,22,2,41.7,42,43.01,42.85,42.83,42.92,
orange,adult,treatment,22,3,50.6,48.3,47.85,48.19,52.03,48.6,
orange,adult,treatment,22,4,62.4,57,56.98,57.51,60.88,60.57,
orange,adult,treatment,23,1,44.7,40.6,40.47,41.84,41.55,41.27,
orange,adult,treatment,23,2,46.7,46.2,45.91,46.05,44.99,45.3,
orange,adult,treatment,23,3,71.3,64.5,65.91,66.36,66.52,65.52,
orange,adult,treatment,23,4,51.7,47.1,47.63,46.48,NA,NA,Dead in August
orange,adult,treatment,24,1,51.4,43.5,50.17,50.28,55.92,56.16,
orange,adult,treatment,24,2,50.6,44.6,45.66,45.64,45.79,45.3,
orange,adult,treatment,24,3,43.8,39.6,41.65,38.42,44.54,48.5,
left-seed,seed,treatment,25,1,20.7,14.2,15.28,15.27,12.56,13.99,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,25,2,23.2,18.2,18.33,19.62,23.96,23.68,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,25,3,23.7,18.2,16.52,16.96,26.63,26.87,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,25,4,20.1,13.6,14.75,15.71,19.63,17.53,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,25,5,21.9,18.7,15.96,17.46,16.54,15.97,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,25,6,19.8,15.9,14.57,15.02,15.25,NA,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,26,1,16.3,11.2,11.08,11.38,11.84,11.69,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,26,2,20.8,15.3,16.82,16.14,15.28,NA,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,26,3,21.1,16,15.59,15.55,17.97,NA,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,26,4,16.7,11.1,16.95,17.35,22.34,25.88,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,26,5,23.2,18.3,17.57,17.3,23.59,23.67,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,26,6,24,20.3,22.08,22.6,30.76,27.56,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,27,1,19.1,13.5,13.58,13.46,13.39,NA,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,27,2,20.1,15.8,15.65,14.88,20.11,20.95,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,27,3,20.1,12.4,14.81,12.96,21.51,22.93,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,27,4,17.9,13.1,13.29,13.07,13.17,12.52,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,27,5,22.9,18,17.58,17.86,19.29,16.67,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
left-seed,seed,treatment,27,6,23,17.3,18.8,18.93,21.2,21.72,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,28,1,22.6,17.5,17.63,16.07,16.25,16.12,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,28,2,21.1,15.2,14.78,15.69,14.74,15.41,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,28,3,23.8,19,18.92,19.26,26.43,14.1,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,28,4,17.6,11.7,NA,NA,NA,25.14,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,28,5,19.8,14.5,16.16,15.5,29.73,27.84,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,28,6,29.6,24.1,26.02,25.56,32.32,35.69,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,29,1,18.9,15.4,15.8,16.39,15.42,15.61,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,29,2,24.4,16,18.12,18.95,25.68,25.77,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,29,3,26.4,18.3,18.36,21.76,31.41,31.52,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,29,4,25.6,19.8,21.39,20.15,21.05,19.75,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,29,5,25.2,17,18.56,17.87,17.44,17.67,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,29,6,18.3,12.7,12.94,11.54,24.92,23.49,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,30,1,22.1,15.9,18.77,18.85,20.59,22.9,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,30,2,19.3,15.5,15.63,15.11,15.04,14.71,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,30,3,20.2,14.5,15.39,15.41,21.28,20.26,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,30,4,28.2,23.2,23.52,23.74,25.92,18.64,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,30,5,19.8,14.7,14.56,15.1,25.42,22.67,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
right-seed,seed,control,30,6,18.9,12.9,14.39,13.94,23.2,24.47,"Use only April-May for seed, April measurement not accurate due to malfunctioning scale "
